Time,GMSL
04-1973,-31.7
05-1973,-33.8
06-1973,-32.7
07-1973,-34.4
08-1973,-34.4
09-1973,-34.5
10-1973,-31.6
11-1973,-24.7
12-1973,-19.9
01-1974,-15.4
02-1974,-16.5
03-1974,-17.6
04-1974,-17.4
05-1974,-17.7
06-1974,-18.3
07-1974,-20.4
08-1974,-22.1
09-1974,-23
10-1974,-23.8
11-1974,-22.6
12-1974,-21.8
01-1975,-21.1
02-1975,-20.2
03-1975,-18.7
04-1975,-20
05-1975,-21.3
06-1975,-23.4
07-1975,-23.4
08-1975,-22
09-1975,-21.3
10-1975,-20.7
11-1975,-20.5
12-1975,-22.7
01-1976,-22.9
02-1976,-25.7
03-1976,-24.4
04-1976,-23.2
05-1976,-22.5
06-1976,-20.4
07-1976,-21.6
08-1976,-23.5
09-1976,-22.2
10-1976,-22.6
11-1976,-19.7
12-1976,-19.5
01-1977,-20.9
02-1977,-23.6
03-1977,-25.4
04-1977,-27.6
05-1977,-27.1
06-1977,-26.5
07-1977,-25.5
08-1977,-24.8
09-1977,-23.8
10-1977,-23.1
11-1977,-21
12-1977,-18.3
01-1978,-15.7
02-1978,-12
03-1978,-13
04-1978,-13.3
05-1978,-17
06-1978,-18.5
07-1978,-19.9
08-1978,-18.3
09-1978,-18
10-1978,-17.7
11-1978,-22.2
12-1978,-25.2
01-1979,-28
02-1979,-26.9
03-1979,-25.8
04-1979,-26.1
05-1979,-27.5
06-1979,-27.1
07-1979,-24.7
08-1979,-19.9
09-1979,-17.3
10-1979,-14.9
11-1979,-17.2
12-1979,-15
01-1980,-15.2
02-1980,-14.1
03-1980,-16.1
04-1980,-15.8
05-1980,-16.1
06-1980,-16.7
07-1980,-19.2
08-1980,-21
09-1980,-21
10-1980,-19.2
11-1980,-14
12-1980,-9.9
01-1981,-7.8
02-1981,-6.8
03-1981,-5
04-1981,-4
05-1981,-2.7
06-1981,-2.2
07-1981,-3.9
08-1981,-3.1
09-1981,-4.1
10-1981,-2
11-1981,-2.9
12-1981,-4.4
01-1982,-8.2
02-1982,-9.3
03-1982,-10.6
04-1982,-13.1
05-1982,-13.5
06-1982,-14.7
07-1982,-15.8
08-1982,-14.4
09-1982,-10.3
10-1982,-4.7
11-1982,-2.1
12-1982,-1.6
01-1983,0.2
02-1983,-0.5
03-1983,1.1
04-1983,4.3
05-1983,7.5
06-1983,6
07-1983,1.8
08-1983,-5.9
09-1983,-6.7
10-1983,-9.7
11-1983,-6.8
12-1983,-8.9
01-1984,-7.5
02-1984,-6.3
03-1984,-3
04-1984,-2.2
05-1984,-1.2
06-1984,1
07-1984,0.6
08-1984,2
09-1984,-0.2
10-1984,-1.1
11-1984,-4.4
12-1984,-6.4
01-1985,-10.4
02-1985,-9.5
03-1985,-11.7
04-1985,-11.7
05-1985,-13.5
06-1985,-13.1
07-1985,-13.7
08-1985,-15.4
09-1985,-14.6
10-1985,-13.9
11-1985,-12.5
12-1985,-12.2
01-1986,-10.8
02-1986,-9.7
03-1986,-10.3
04-1986,-10.5
05-1986,-11.8
06-1986,-11
07-1986,-13.3
08-1986,-12.5
09-1986,-13.5
10-1986,-13.9
11-1986,-14.3
12-1986,-13.1
01-1987,-11.2
02-1987,-8.5
03-1987,-10.8
04-1987,-12.4
05-1987,-10.9
06-1987,-9.3
07-1987,-8.2
08-1987,-13.5
09-1987,-15.3
10-1987,-16.7
11-1987,-12.1
12-1987,-8.6
01-1988,-9.1
02-1988,-7.8
03-1988,-9.9
04-1988,-8.2
05-1988,-8.1
06-1988,-6.6
07-1988,-6.4
08-1988,-4.8
09-1988,-3.3
10-1988,-2.6
11-1988,-4.9
12-1988,-9.4
01-1989,-9.4
02-1989,-8
03-1989,-2.4
04-1989,-1.6
05-1989,-1.1
06-1989,-3
07-1989,-2.7
08-1989,-1
09-1989,0.3
10-1989,0.6
11-1989,1.1
12-1989,-0.6
01-1990,-0.2
02-1990,-2.6
03-1990,-4.4
04-1990,-3.9
05-1990,-4.1
06-1990,0
07-1990,-0.2
08-1990,2.8
09-1990,3
10-1990,3.8
11-1990,4.3
12-1990,1.6
01-1991,3
02-1991,3.7
03-1991,5
04-1991,1.4
05-1991,-1
06-1991,-1.4
07-1991,1
08-1991,3.6
09-1991,3.8
10-1991,4.1
11-1991,4
12-1991,2.9
01-1992,5
02-1992,6
03-1992,4.6
04-1992,3.1
05-1992,0.6
06-1992,1
07-1992,0.3
08-1992,0.6
09-1992,2.2
10-1992,5.5
11-1992,5.1
12-1992,4
01-1993,2.7
02-1993,3.8
03-1993,6.3
04-1993,8.3
05-1993,8.6
06-1993,4.3
07-1993,0.6
08-1993,-2.4
09-1993,-5.3
10-1993,-4.1
11-1993,-5.2
12-1993,-0.6
01-1994,3.4
02-1994,4
03-1994,6
04-1994,5.1
05-1994,7.4
06-1994,6.4
07-1994,9
08-1994,8.3
09-1994,8
10-1994,7.6
11-1994,5.9
12-1994,7.8
01-1995,8.6
02-1995,9.7
03-1995,10.4
